transport,t,elapsed_s,rss_mb,thread_count,P50,P95,P99,errors,timeouts
http,2026-07-16T01:31:07.516302+00:00,0,142.45,29,19.0,19.0,19.0,0,0
http,2026-07-16T01:36:07.545424+00:00,300,289.35,25,6.0,3155.95,3211.51,0,6
http,2026-07-16T01:41:08.784327+00:00,601,393.23,25,7.0,3198.55,3566.3599999999988,0,13
http,2026-07-16T01:46:08.907527+00:00,901,511.62,23,6.0,3131.55,3191.2799999999997,0,20
http,2026-07-16T01:51:10.467018+00:00,1202,628.84,23,6.0,3133.25,3164.26,0,27
http,2026-07-16T01:56:10.732371+00:00,1503,383.44,23,5.0,3099.3500000000004,3147.1,0,34
http,2026-07-16T02:01:12.085905+00:00,1804,314.68,23,5.0,3101.0,3145.3199999999997,0,41
http,2026-07-16T02:06:12.684806+00:00,2105,395.93,23,5.0,3073.6,3120.5199999999995,0,48
http,2026-07-16T02:11:12.732730+00:00,2405,505.11,23,5.0,3137.55,3197.37,0,55
http,2026-07-16T02:16:13.352137+00:00,2705,614.27,24,8.0,3187.0999999999995,3372.2,0,62
http,2026-07-16T02:21:14.661988+00:00,3007,367.84,23,5.0,3117.85,3155.51,0,69
http,2026-07-16T02:26:17.725168+00:00,3310,322.5,23,6.5,3169.2,3381.9299999999994,0,76
http,2026-07-16T02:31:20.712469+00:00,3613,378.74,23,6.0,3189.35,3245.7200000000003,0,83
http,2026-07-16T02:36:23.638115+00:00,3916,485.5,23,7.0,3163.1,3195.16,0,90
http,2026-07-16T02:41:26.311991+00:00,4218,594.15,23,9.0,3112.3,3189.27,0,97
http,2026-07-16T02:46:29.179579+00:00,4521,346.39,23,7.0,3170.7,3246.61,0,104
http,2026-07-16T02:51:31.627869+00:00,4824,340.09,23,5.0,3097.35,3121.69,0,111
http,2026-07-16T02:56:34.625448+00:00,5127,366.26,25,5.0,3120.4,3136.7299999999996,0,119
http,2026-07-16T03:01:37.621457+00:00,5430,474.22,23,5.0,3104.75,3190.83,0,126
http,2026-07-16T03:06:38.482364+00:00,5730,583.17,23,6.5,3128.95,3244.71,0,133
http,2026-07-16T03:11:40.338415+00:00,6032,341.8,23,5.0,3125.55,3173.91,0,140
http,2026-07-16T03:16:41.032344+00:00,6333,422.88,23,5.0,3107.8,3168.45,0,147
http,2026-07-16T03:21:42.090248+00:00,6634,420.67,23,5.0,3108.0,3176.3999999999996,0,154
http,2026-07-16T03:26:43.882518+00:00,6936,461.43,23,5.0,3119.1,3147.38,0,161
stdio,2026-07-16T03:31:12.131520+00:00,0,None,None,11.0,11.0,11.0,0,0
stdio,2026-07-16T03:36:14.510230+00:00,302,None,None,4.0,3117.2,3169.38,0,7
stdio,2026-07-16T03:41:16.151706+00:00,604,None,None,3.0,3113.7,3167.04,0,14
stdio,2026-07-16T03:46:17.276012+00:00,905,None,None,3.0,3093.2,3158.89,0,21
stdio,2026-07-16T03:51:20.080420+00:00,1207,None,None,3.0,3057.65,3103.62,0,28
stdio,2026-07-16T03:56:20.744059+00:00,1508,None,None,3.0,3050.15,3152.2,0,35
